iterations,fitness,time,fevals
0,22.0,0.000797980000002,729
10,22.0,0.001477778,1348
20,25.0,0.003444272,1991
30,26.0,0.004031873,2624
40,27.0,0.004734363,3277
50,28.0,0.005281251,3903
60,30.0,0.005808199,4534
70,31.0,0.006591123,5170
80,31.0,0.007352396,5799
90,32.0,0.009324083,6425
100,33.0,0.00985570100001,7056
110,34.0,0.010381155,7682
120,32.0,0.010855131,8312
130,33.0,0.011320329,8933
140,34.0,0.011807604,9572
150,34.0,0.012264194,10187
160,35.0,0.012738218,10825
170,34.0,0.014730373,11449
180,35.0,0.015358039,12085
190,35.0,0.015905416,12720
200,35.0,0.016371516,13360
210,35.0,0.016877322,13993
220,37.0,0.017334373,14617
230,37.0,0.018360192,15249
240,37.0,0.023842186,15877
250,37.0,0.024414908,16507
260,38.0,0.02485377,17127
270,38.0,0.025282764,17762
280,38.0,0.025750918,18397
290,38.0,0.026223884,19020
300,37.0,0.026677203,19648
310,38.0,0.027158193,20272
320,37.0,0.033847256,20910
330,38.0,0.034311206,21537
340,37.0,0.034768663,22162
350,37.0,0.035191798,22791
360,38.0,0.035776077,23430
370,38.0,0.036274053,24060
380,39.0,0.036767444,24693
390,39.0,0.040404393,25322
400,38.0,0.040880663,25946
410,39.0,0.041361948,26588
420,38.0,0.041927779,27223
430,38.0,0.042390486,27853
440,38.0,0.042833638,28496
450,38.0,0.043289713,29122
460,39.0,0.043762407,29748
470,39.0,0.047542604,30388
480,38.0,0.048011599,31021
490,38.0,0.048515063,31651
500,38.0,0.048956018,32289
510,38.0,0.049422838,32920
520,38.0,0.049876107,33557
530,38.0,0.050319965,34188
540,38.0,0.058904389,34817
550,39.0,0.059411605,35451
560,40.0,0.05991662,36078
570,40.0,0.06045475,36716
580,40.0,0.061172443,37345
590,42.0,0.061709597,37965
600,42.0,0.062270837,38601
610,52.0,0.06350975,39225
620,63.0,0.065333284,39848
630,64.0,0.065781491,40476
640,64.0,0.066315978,41110
650,64.0,0.067795797,41746
660,64.0,0.06825043,42385
670,64.0,0.068677477,43018
680,65.0,0.069109289,43652
690,65.0,0.070941456,44281
700,65.0,0.071406831,44908
710,65.0,0.071906625,45535
720,66.0,0.072354403,46171
730,67.0,0.07279311,46815
740,65.0,0.073231482,47452
750,65.0,0.073666047,48084
760,66.0,0.074074219,48719
770,66.0,0.075863765,49349
780,66.0,0.07634092,49986
790,66.0,0.076815374,50620
800,70.0,0.077243805,51242
810,70.0,0.0776625909999,51878
820,70.0,0.0782462689999,52504
830,70.0,0.0788090409999,53135
840,66.0,0.0860178169999,53759
850,70.0,0.08676453,54400
860,70.0,0.087220514,55031
870,70.0,0.087656385,55659
880,70.0,0.088047207,56299
890,71.0,0.089222748,56925
900,70.0,0.089679721,57543
910,71.0,0.090119781,58170
920,71.0,0.105106188,58797
930,71.0,0.105591552,59427
940,71.0,0.106061694,60073
950,70.0,0.106547311,60703
960,69.0,0.106964395,61334
970,70.0,0.107423755,61968
980,70.0,0.10797434,62587
990,69.0,0.108546959,63213
1000,70.0,0.115881558,63841
1010,71.0,0.116321826,64475
1020,71.0,0.116755961,65115
1030,71.0,0.117179294,65745
1040,71.0,0.11759729,66376
1050,71.0,0.118003768,66998
1060,71.0,0.119871669,67635
1070,72.0,0.121781292,68270
1080,72.0,0.122220237,68894
1090,71.0,0.122661359,69530
1100,71.0,0.123082698,70156
1110,71.0,0.12349587,70786
1120,71.0,0.123889673,71420
1130,70.0,0.124304018,72063
1140,71.0,0.124697243,72683
1150,70.0,0.13342983,73314
1160,70.0,0.133859856,73933
1170,72.0,0.134273666,74565
1180,70.0,0.134657866,75202
1190,72.0,0.135087467,75839
1200,71.0,0.135517168,76478
1210,71.0,0.136078348,77111
1220,72.0,0.137827803,77744
1230,72.0,0.138334291,78386
1240,72.0,0.138738859,79022
1250,73.0,0.139137594,79646
1260,73.0,0.139533148,80271
1270,72.0,0.139937635,80899
1280,71.0,0.140370936,81534
1290,72.0,0.140788128,82162
1300,72.0,0.147995209,82784
1310,72.0,0.148430502,83418
1320,73.0,0.148886486,84041
1330,72.0,0.149305036,84678
1340,72.0,0.149717712,85305
1350,73.0,0.150172413,85923
1360,72.0,0.150582008,86567
1370,73.0,0.1523313,87191
1380,72.0,0.152744139,87822
1390,73.0,0.153244191,88453
1400,72.0,0.15364351,89076
1410,73.0,0.154030315,89705
1420,72.0,0.15467443,90340
1430,72.0,0.155166233,90984
1440,73.0,0.156286711,91615
1450,73.0,0.158045786,92239
1460,73.0,0.158450858,92867
1470,72.0,0.158831852,93493
1480,72.0,0.159243492,94137
1490,72.0,0.159670507,94780
1500,71.0,0.160064483,95404
1510,72.0,0.160505586,96041
1520,73.0,0.162209159,96681
1530,72.0,0.162607846,97317
1540,73.0,0.163808891,97963
1550,73.0,0.164365679,98595
1560,73.0,0.16480708,99218
1570,73.0,0.165276109,99858
1580,74.0,0.165674568,100487
1590,73.0,0.166064467,101117
1600,73.0,0.167755411,101754
1610,74.0,0.168169355,102374
1620,73.0,0.16854426,103007
1630,73.0,0.168970743,103629
1640,73.0,0.16934997,104251
1650,73.0,0.16974229,104894
1660,73.0,0.170110662,105508
1670,73.0,0.171854853,106143
1680,74.0,0.172261979,106764
1690,73.0,0.172641852,107380
1700,73.0,0.173013927,108016
1710,73.0,0.17339744,108645
1720,72.0,0.173791437,109282
1730,73.0,0.174189225,109915
1740,73.0,0.174601713,110553
1750,73.0,0.178367762,111177
1760,73.0,0.178821795,111804
1770,73.0,0.179228612,112431
1780,73.0,0.1796483,113059
1790,73.0,0.180055421,113684
1800,73.0,0.180460227,114311
1810,72.0,0.180859568,114944
1820,72.0,0.181287424,115571
1830,73.0,0.181792372,116211
1840,73.0,0.182260652,116833
1850,73.0,0.182695613,117447
1860,73.0,0.183097893,118074
1870,74.0,0.183840562,118700
1880,73.0,0.184368205,119328
1890,73.0,0.184884805,119958
1900,74.0,0.193633672,120588
1910,74.0,0.194055975,121213
1920,73.0,0.194511295,121847
1930,74.0,0.194960199,122478
1940,75.0,0.195373329,123102
1950,73.0,0.195880957,123742
1960,74.0,0.196293008,124376
1970,76.0,0.196711162,125022
1980,76.0,0.203242588,125648
1990,76.0,0.203717718,126286
2000,76.0,0.204144707,126904
2010,76.0,0.204543549,127530
2020,76.0,0.204941811,128157
2030,76.0,0.205326515,128784
2040,76.0,0.205728739,129418
2050,77.0,0.207455436,130065
2060,76.0,0.207860411,130690
2070,76.0,0.208289199,131313
2080,75.0,0.208925849,131945
2090,77.0,0.209405014,132559
2100,75.0,0.20981358,133184
2110,76.0,0.210229632,133816
2120,76.0,0.210638116,134439
2130,76.0,0.214269338,135081
2140,77.0,0.214804706,135707
2150,75.0,0.215365026,136342
2160,76.0,0.215779731,136977
2170,74.0,0.216189244,137603
2180,75.0,0.216584832,138239
2190,75.0,0.217037007,138865
2200,75.0,0.218794028,139490
2210,76.0,0.21924071,140115
2220,76.0,0.219734289,140748
2230,76.0,0.220161194,141386
2240,76.0,0.225373038,142027
2250,76.0,0.225808536,142662
2260,77.0,0.226209422,143295
2270,77.0,0.226623958,143910
2280,77.0,0.228942373,144527
2290,77.0,0.229435259,145148
2300,76.0,0.229944398,145767
2310,76.0,0.230418381,146403
2320,76.0,0.230856106,147027
2330,77.0,0.231306053,147660
2340,76.0,0.231725863,148287
2350,76.0,0.233446913,148929
2360,76.0,0.233849093,149577
2370,77.0,0.234225387,150214
2380,78.0,0.235905971,150842
2390,77.0,0.236342938,151467
2400,78.0,0.23673854,152096
2410,78.0,0.237132958,152731
2420,78.0,0.237555305,153359
2430,77.0,0.24193952,153977
2440,77.0,0.242355418,154597
2450,78.0,0.242835138,155234
2460,78.0,0.24322791,155859
2470,78.0,0.243632048,156506
2480,78.0,0.244024534,157117
2490,77.0,0.244428644,157743
2500,76.0,0.250246412,158377
2510,75.0,0.250651775,159014
2520,75.0,0.251048338,159653
2530,75.0,0.251452114,160277
2540,75.0,0.251840445,160910
2550,76.0,0.252221206,161543
2560,77.0,0.252618423,162160
2570,76.0,0.252996467,162788
2580,75.0,0.255056985,163429
2590,77.0,0.255453416,164052
2600,77.0,0.255849554,164698
2610,75.0,0.256300956,165317
2620,78.0,0.260752563,165963
2630,74.0,0.261163097,166583
2640,73.0,0.261561909,167209
2650,74.0,0.263279935,167843
2660,74.0,0.2636807,168462
2670,74.0,0.268135205,169097
2680,75.0,0.268554532,169735
2690,76.0,0.269095832,170362
2700,75.0,0.269481718,170999
2710,76.0,0.269879651,171625
2720,76.0,0.270263228,172249
2730,76.0,0.279130383,172867
2740,75.0,0.279684911,173492
2750,76.0,0.286043125,174124
2760,75.0,0.286896445,174756
2770,75.0,0.287343603,175374
2780,75.0,0.287774968,176008
2790,76.0,0.288185254,176641
2800,74.0,0.28977036,177285
2810,74.0,0.290206721,177923
2820,74.0,0.290629553,178552
2830,74.0,0.291037372,179171
2840,75.0,0.291459664,179809
2850,75.0,0.291846621,180444
2860,77.0,0.292256705,181077
2870,76.0,0.292634883,181705
2880,76.0,0.298974332,182338
2890,75.0,0.299390716,182980
2900,76.0,0.300198856,183618
2910,75.0,0.300628017,184240
2920,76.0,0.30101722,184866
2930,75.0,0.301412831,185501
2940,74.0,0.301776887,186130
2950,75.0,0.302214243,186771
2960,74.0,0.304080378,187392
2970,76.0,0.304619894,188017
2980,75.0,0.305134397,188663
2990,75.0,0.30556574,189296
3000,75.0,0.305984043,189932
3010,76.0,0.306382719,190561
3020,76.0,0.306778412,191191
3030,75.0,0.314511084,191816
3040,76.0,0.315015442,192427
3050,75.0,0.315456631,193072
3060,75.0,0.315872165,193708
3070,75.0,0.316293261,194340
3080,76.0,0.316696553,194969
3090,76.0,0.317126027,195612
3100,75.0,0.317542205,196247
3110,75.0,0.321206821,196886
3120,77.0,0.322549214,197519
3130,77.0,0.322941431,198137
3140,74.0,0.32335055,198763
3150,74.0,0.323760912,199405
3160,74.0,0.324198512,200039
3170,75.0,0.324631612,200658
3180,75.0,0.326335635,201305
3190,75.0,0.326756399,201933
3200,76.0,0.327163423,202562
3210,76.0,0.327600407,203187
3220,76.0,0.327998376,203814
3230,78.0,0.32841425,204458
3240,79.0,0.328806014,205075
3250,75.0,0.329218652,205720
3260,75.0,0.33103277,206349
3270,78.0,0.331464272,206982
3280,76.0,0.331865058,207612
3290,78.0,0.332257922,208243
3300,78.0,0.332664521,208867
3310,78.0,0.333047411,209487
3320,78.0,0.333436042,210124
3330,78.0,0.335189118,210748
3340,78.0,0.335610056,211364
3350,76.0,0.336012771,211998
3360,77.0,0.336431236,212645
3370,76.0,0.336817551,213287
3380,76.0,0.337215775,213914
3390,75.0,0.337647681,214544
3400,81.0,0.338043208,215170
3410,81.0,0.341294789,215809
3420,81.0,0.341796235,216448
3430,81.0,0.342224441,217075
3440,82.0,0.342613615,217699
3450,82.0,0.343004239,218319
3460,80.0,0.343410001,218947
3470,81.0,0.343784844,219579
3480,81.0,0.349875361,220211
3490,81.0,0.350261256,220833
3500,82.0,0.35064597,221455
3510,82.0,0.351040378,222086
3520,85.0,0.351441174,222720
3530,82.0,0.351842313,223340
3540,82.0,0.352221605,223974
3550,82.0,0.352604368,224605
3560,84.0,0.35437614,225245
3570,83.0,0.354780235,225869
3580,83.0,0.355182602,226506
3590,84.0,0.355568103,227133
3600,84.0,0.355928706,227761
3610,84.0,0.35629706,228398
3620,84.0,0.3567287,229027
3630,84.0,0.358430703,229650
3640,84.0,0.358815193,230283
3650,84.0,0.359318742,230913
3660,84.0,0.359830875,231540
3670,84.0,0.360276563,232167
3680,81.0,0.362184973,232803
3690,81.0,0.36396689,233444
3700,81.0,0.364383265,234072
3710,85.0,0.366100372,234717
3720,85.0,0.366494882,235342
3730,85.0,0.36696761,235965
3740,85.0,0.371467651,236600
3750,85.0,0.371881752,237227
3760,84.0,0.372268333,237873
3770,85.0,0.37264169,238498
3780,87.0,0.373020123,239124
3790,86.0,0.374820223,239748
3800,87.0,0.375222125,240372
3810,87.0,0.375581538,241020
3820,85.0,0.375954337,241654
3830,85.0,0.376309781,242290
3840,86.0,0.376684886,242931
3850,86.0,0.377115101,243565
3860,86.0,0.383273556,244194
3870,86.0,0.383675892,244821
3880,85.0,0.384062529,245459
3890,86.0,0.384454566,246095
3900,88.0,0.384828485,246723
3910,84.0,0.385203621,247348
3920,85.0,0.385575465,247974
3930,86.0,0.385975887,248601
3940,86.0,0.39035223,249227
3950,85.0,0.390749929,249846
3960,84.0,0.3911376,250476
3970,85.0,0.391546373,251101
3980,85.0,0.39192554,251725
3990,87.0,0.392301415,252347
4000,86.0,0.392681054,252977
4010,86.0,0.399691154,253612
4020,86.0,0.400085942,254250
4030,86.0,0.400487021,254880
4040,85.0,0.400878955,255502
4050,85.0,0.401290696,256148
4060,84.0,0.401664031,256771
4070,84.0,0.402033938,257406
4080,84.0,0.402667578,258020
4090,84.0,0.410009849,258639
4100,84.0,0.410432793,259272
4110,83.0,0.410844439,259894
4120,84.0,0.411244878,260520
4130,84.0,0.411829855,261150
4140,84.0,0.413902272,261790
4150,85.0,0.414429112,262421
4160,85.0,0.422496784,263052
4170,86.0,0.423817601,263678
4180,83.0,0.424251419,264312
4190,83.0,0.424642614,264954
4200,83.0,0.425042367,265606
4210,83.0,0.425432221,266253
4220,85.0,0.425805005,266879
4230,82.0,0.426174702,267512
4240,82.0,0.42788098,268144
4250,85.0,0.428282704,268777
4260,84.0,0.428702077,269412
4270,85.0,0.429112424,270040
4280,83.0,0.429490949,270675
4290,84.0,0.430122074,271303
4300,86.0,0.430684401,271934
4310,84.0,0.436471297,272562
4320,84.0,0.436869713,273193
4330,84.0,0.437339206,273819
4340,83.0,0.437707906,274447
4350,84.0,0.438085148,275069
4360,84.0,0.438478887,275707
4370,82.0,0.438868795,276339
4380,82.0,0.439242015,276950
4390,83.0,0.441041568,277580
4400,84.0,0.441426079,278209
4410,84.0,0.441810307,278838
4420,84.0,0.442213612,279477
4430,85.0,0.442597157,280100
4440,84.0,0.442962916,280728
4450,84.0,0.443351975,281357
4460,85.0,0.445075553,281996
4470,85.0,0.445460604,282618
4480,85.0,0.445929887,283249
4490,84.0,0.446588352,283879
4500,84.0,0.447074967,284511
