iterations,fitness,time,fevals
0,25.0,0.168586016,1000
10,28.0,0.314917143,2100
20,29.0,0.439805248,3200
30,29.0,0.546713041,4300
40,32.0,0.658253189,5400
50,30.0,0.768555942,6500
60,30.0,0.863698926,7600
70,29.0,0.972566439,8700
80,29.0,1.072470207,9800
90,33.0,1.177463349,10900
100,30.0,1.272261501,12000
110,30.0,1.385167683,13100
120,29.0,1.483465154,14200
130,30.0,1.589262953,15300
140,30.0,1.697818864,16400
150,29.0,1.791184709,17500
160,28.0,1.886312157,18600
170,29.0,1.997875952,19700
180,29.0,2.09684744,20800
190,29.0,2.20247185,21900
200,29.0,2.295325624,23000
210,29.0,2.400553812,24100
220,29.0,2.518802414,25200
230,29.0,2.636751433,26300
240,30.0,2.732809077,27400
250,29.0,2.828115192,28500
260,29.0,2.925925712,29600
270,30.0,3.034245832,30700
280,29.0,3.128625296,31800
290,29.0,3.228191548,32900
300,29.0,3.3403484,34000
310,29.0,3.437356045,35100
320,30.0,3.545201964,36200
330,30.0,3.642781819,37300
340,30.0,3.754365551,38400
350,31.0,3.854931266,39500
360,32.0,3.95735101,40600
370,34.0,4.056184387,41700
380,32.0,4.16585697,42800
390,32.0,4.270355975,43900
400,33.0,4.377052872,45000
410,34.0,4.477003405,46100
420,33.0,4.578900243,47200
430,33.0,4.686209241,48300
440,33.0,4.781533825,49400
450,33.0,4.880691716,50500
460,31.0,4.986866342,51600
470,33.0,5.094370376,52700
480,32.0,5.201544616,53800
490,32.0,5.307514775,54900
500,32.0,5.404394967,56000
510,32.0,5.500897834,57100
520,33.0,5.605299217,58200
530,33.0,5.716825131,59300
540,32.0,5.815970274,60400
550,33.0,5.918348989,61500
560,33.0,6.01519555,62600
570,35.0,6.12332597,63700
580,33.0,6.21273134,64800
590,34.0,6.314291833,65900
600,35.0,6.423670305,67000
610,36.0,6.538638756,68100
620,35.0,6.662150521,69200
630,34.0,6.771815512,70300
640,34.0,6.868772337,71400
650,33.0,6.972010552,72500
660,33.0,7.073166488,73600
670,34.0,7.165232979,74700
680,35.0,7.260973944,75800
690,34.0,7.366096709,76900
700,36.0,7.463663545,78000
710,39.0,7.561381682,79100
720,35.0,7.654619804,80200
730,34.0,7.758359107,81300
740,36.0,7.863606635,82400
750,35.0,7.967762922,83500
760,34.0,8.071787532,84600
770,35.0,8.177334893,85700
780,34.0,8.284545458,86800
