iterations,fitness,time,fevals
0,19.0,3.0658e-05,11
10,19.0,6.0613e-05,21
20,19.0,9.16100000001e-05,31
30,22.0,0.000123108,41
40,22.0,0.000152573000001,51
50,23.0,0.000182033000001,61
60,24.0,0.000213623000001,71
70,24.0,0.000256829000001,81
80,24.0,0.000286591000001,91
90,24.0,0.000316001000001,101
100,24.0,0.000347182000001,111
110,24.0,0.000378420000001,121
120,24.0,0.000408000000002,131
130,24.0,0.000438319000001,141
140,24.0,0.000478658000001,151
150,24.0,0.000508569000002,161
160,24.0,0.000538214000001,171
170,24.0,0.000569808000002,181
180,24.0,0.000602283000002,191
190,24.0,0.000635248000002,201
200,25.0,0.000681599000002,211
210,25.0,0.000715771000002,221
220,26.0,0.000747323000002,231
230,26.0,0.000785980000002,241
240,26.0,0.000816831000002,251
250,26.0,0.000848232000002,261
260,26.0,0.000877880000002,271
270,26.0,0.000909643000002,281
280,27.0,0.000940082000001,291
290,27.0,0.000969634000001,301
300,27.0,0.001015289,311
310,28.0,0.001045947,321
320,28.0,0.001076621,331
330,28.0,0.001106513,341
340,28.0,0.001136005,351
350,28.0,0.001166724,361
360,28.0,0.001197126,371
370,28.0,0.001225782,381
380,28.0,0.001254143,391
390,28.0,0.001285757,401
400,28.0,0.001315971,411
410,28.0,0.001349359,421
420,28.0,0.001379355,431
430,28.0,0.001809059,441
440,29.0,0.001840222,451
450,29.0,0.001869816,461
460,29.0,0.001977679,471
470,30.0,0.002040857,481
480,30.0,0.002120594,491
490,30.0,0.002200577,501
500,30.0,0.002232502,511
510,30.0,0.002275885,521
520,30.0,0.002328214,531
530,30.0,0.002373513,541
540,30.0,0.002409595,551
550,31.0,0.002456209,561
560,31.0,0.002505326,571
570,31.0,0.002534668,581
580,31.0,0.002567359,591
590,31.0,0.002601115,601
600,31.0,0.002633061,611
610,31.0,0.002662604,621
620,31.0,0.002693873,631
630,31.0,0.002722814,641
640,31.0,0.002751857,651
650,33.0,0.002782937,661
660,34.0,0.002811955,671
670,34.0,0.0028414,681
680,34.0,0.002872554,691
690,34.0,0.002915206,701
700,34.0,0.002945598,711
710,34.0,0.002974544,721
720,35.0,0.003003307,731
730,35.0,0.003034068,741
740,35.0,0.003063192,751
750,36.0,0.00309964,761
760,36.0,0.003131711,771
770,36.0,0.003162773,781
780,41.0,0.003192225,791
790,43.0,0.003221591,801
800,43.0,0.00325237,811
810,43.0,0.003281401,821
820,45.0,0.003331484,831
830,45.0,0.003360456,841
840,45.0,0.003391876,851
850,45.0,0.003434284,861
860,45.0,0.003464506,871
870,45.0,0.003510031,881
880,45.0,0.003547053,891
890,45.0,0.003577066,901
900,45.0,0.003606131,911
