iterations,fitness,time,fevals
0,13.0,7.8958e-05,11
10,11.0,0.000130106,21
20,15.0,0.000181836,31
30,15.0,0.000226454,41
40,15.0,0.000259666999999,51
50,15.0,0.000293541,61
60,15.0,0.000325366999999,71
70,15.0,0.000356216999999,81
80,15.0,0.000390534,91
90,15.0,0.000423616,101
100,15.0,0.000453992999999,111
110,18.0,0.000485820999999,121
120,18.0,0.000518493999999,131
130,18.0,0.000550264999999,141
140,19.0,0.000580997999999,151
150,19.0,0.000613450999999,161
160,19.0,0.000645465999999,171
170,19.0,0.000697725999999,181
180,19.0,0.000748310999999,191
190,19.0,0.000781002999999,201
200,19.0,0.000818942999999,211
210,19.0,0.000859681999999,221
220,19.0,0.000915295999999,231
230,19.0,0.000949687999999,241
240,19.0,0.000989268999999,251
250,19.0,0.001023049,261
260,21.0,0.001055058,271
270,21.0,0.001087204,281
280,21.0,0.001122452,291
290,21.0,0.001155224,301
300,21.0,0.001210274,311
310,22.0,0.001247806,321
320,23.0,0.001279413,331
330,23.0,0.001313423,341
340,23.0,0.001359457,351
350,23.0,0.001392976,361
360,23.0,0.001424952,371
370,23.0,0.001456131,381
380,25.0,0.001487375,391
390,25.0,0.001520141,401
400,25.0,0.001551347,411
410,25.0,0.001587419,421
420,25.0,0.001636533,431
430,25.0,0.001674725,441
440,25.0,0.001706733,451
450,25.0,0.001738898,461
460,26.0,0.001772052,471
470,26.0,0.001804061,481
480,26.0,0.001834988,491
490,26.0,0.001927854,501
500,30.0,0.001963272,511
510,30.0,0.002011684,521
520,31.0,0.002041321,531
530,31.0,0.002071708,541
540,31.0,0.002104175,551
550,31.0,0.002136988,561
560,32.0,0.00216918,571
570,32.0,0.002217982,581
580,33.0,0.002249193,591
590,35.0,0.002279004,601
600,35.0,0.002310826,611
610,35.0,0.002344103,621
620,36.0,0.002376901,631
630,36.0,0.002407706,641
640,36.0,0.002438355,651
650,36.0,0.002483541,661
660,39.0,0.002515764,671
670,39.0,0.002547494,681
680,39.0,0.002578722,691
690,39.0,0.002611036,701
700,41.0,0.002643101,711
710,41.0,0.002676474,721
720,41.0,0.002802653,731
730,41.0,0.002841409,741
740,41.0,0.00290838,751
750,41.0,0.002947308,761
760,41.0,0.003003783,771
770,41.0,0.003041987,781
780,41.0,0.003081956,791
790,41.0,0.003120133,801
800,41.0,0.003171734,811
810,41.0,0.003209617,821
820,41.0,0.003261889,831
830,41.0,0.003299725,841
840,41.0,0.003337863,851
850,41.0,0.003375957,861
860,41.0,0.003413775,871
870,42.0,0.003464705,881
880,42.0,0.003516896,891
890,42.0,0.003555609,901
900,42.0,0.003611783,911
910,42.0,0.003673423,921
920,42.0,0.003711907,931
930,42.0,0.003750313,941
940,42.0,0.003789648,951
950,42.0,0.003868786,961
960,42.0,0.003907074,971
970,42.0,0.003945295,981
980,42.0,0.004061462,991
990,42.0,0.004145144,1001
1000,42.0,0.004199876,1011
1010,42.0,0.004238165,1021
1020,42.0,0.004310513,1031
1030,42.0,0.004348257,1041
1040,44.0,0.004386141,1051
1050,44.0,0.004424066,1061
1060,44.0,0.004490235,1071
1070,44.0,0.004527997,1081
1080,44.0,0.004566048,1091
1090,44.0,0.004603814,1101
1100,44.0,0.004643511,1111
1110,44.0,0.004681262,1121
1120,45.0,0.004718339,1131
1130,45.0,0.004758586,1141
1140,45.0,0.004796473,1151
1150,45.0,0.004848534,1161
1160,45.0,0.004886259,1171
1170,45.0,0.004925351,1181
1180,45.0,0.004962842,1191
1190,45.0,0.005002054,1201
1200,45.0,0.005040073,1211
1210,45.0,0.005079805,1221
1220,46.0,0.005116633,1231
1230,46.0,0.005171346,1241
1240,46.0,0.005264138,1251
1250,46.0,0.005302765,1261
1260,46.0,0.005340991,1271
1270,47.0,0.005378259,1281
1280,47.0,0.005417852,1291
1290,47.0,0.005455364,1301
1300,47.0,0.00550654,1311
1310,47.0,0.005607179,1321
1320,48.0,0.005665368,1331
1330,48.0,0.005842858,1341
1340,49.0,0.00589617,1351
1350,49.0,0.005935223,1361
1360,50.0,0.005975502,1371
1370,50.0,0.006013531,1381
1380,51.0,0.006052389,1391
1390,51.0,0.006124292,1401
1400,52.0,0.006161091,1411
1410,52.0,0.006198986,1421
1420,53.0,0.006235926,1431
1430,53.0,0.006275165,1441
1440,53.0,0.006313051,1451
1450,53.0,0.006350354,1461
1460,53.0,0.006387723,1471
1470,53.0,0.006443444,1481
1480,53.0,0.006483245,1491
1490,53.0,0.006520729,1501
1500,53.0,0.00655856,1511
1510,53.0,0.006598066,1521
1520,53.0,0.006635479,1531
1530,53.0,0.006672956,1541
1540,53.0,0.006728804,1551
1550,53.0,0.006766354,1561
1560,53.0,0.006855956,1571
1570,53.0,0.006908603,1581
1580,54.0,0.006963814,1591
1590,54.0,0.007001295,1601
1600,54.0,0.007038615,1611
1610,54.0,0.007091566,1621
1620,54.0,0.007170869,1631
1630,54.0,0.007229595,1641
1640,54.0,0.00729009,1651
1650,54.0,0.007343772,1661
1660,54.0,0.00738127,1671
1670,54.0,0.007418817,1681
1680,54.0,0.007456177,1691
1690,54.0,0.007507741,1701
1700,54.0,0.007545107,1711
1710,54.0,0.007583303,1721
1720,54.0,0.007636904,1731
1730,54.0,0.007691688,1741
1740,54.0,0.007742065,1751
1750,54.0,0.007779862,1761
1760,54.0,0.007817192,1771
1770,54.0,0.007868675,1781
1780,54.0,0.007917904,1791
1790,54.0,0.007954982,1801
1800,54.0,0.008092635,1811
1810,54.0,0.008130829,1821
1820,54.0,0.008168773,1831
1830,54.0,0.008220783,1841
1840,54.0,0.008280848,1851
1850,54.0,0.008318657,1861
1860,54.0,0.008356035,1871
1870,64.0,0.008393111,1881
1880,71.0,0.008456508,1891
1890,71.0,0.008494229,1901
1900,71.0,0.008531403,1911
1910,71.0,0.008583228,1921
1920,71.0,0.008627954,1931
1930,71.0,0.008666596,1941
1940,71.0,0.008703654,1951
1950,71.0,0.008743606,1961
1960,71.0,0.008780757,1971
1970,71.0,0.008840503,1981
1980,71.0,0.00887724,1991
1990,71.0,0.008916335,2001
2000,71.0,0.00895358,2011
2010,71.0,0.008990456,2021
2020,71.0,0.009027651,2031
2030,71.0,0.009085566,2041
2040,71.0,0.009141956,2051
2050,71.0,0.009212812,2061
2060,71.0,0.00925193,2071
2070,71.0,0.009289286,2081
2080,71.0,0.009326751,2091
2090,71.0,0.009364072,2101
2100,71.0,0.009403176,2111
2110,71.0,0.00944013,2121
2120,71.0,0.009477378,2131
2130,71.0,0.0095297,2141
2140,71.0,0.0095685,2151
2150,71.0,0.009605807,2161
2160,71.0,0.00964278,2171
2170,71.0,0.009679945,2181
2180,72.0,0.009717516,2191
2190,72.0,0.009754283,2201
2200,72.0,0.009791591,2211
2210,72.0,0.009843301,2221
2220,72.0,0.009880442,2231
2230,72.0,0.009917282,2241
2240,73.0,0.009965509,2251
2250,73.0,0.010008541,2261
2260,73.0,0.010046955,2271
2270,74.0,0.010102384,2281
2280,74.0,0.010140358,2291
2290,74.0,0.010214018,2301
2300,74.0,0.010251379,2311
2310,74.0,0.010294654,2321
2320,75.0,0.010331892,2331
2330,75.0,0.010370861,2341
2340,75.0,0.010410995,2351
2350,75.0,0.010451011,2361
2360,75.0,0.010490392,2371
2370,75.0,0.010543798,2381
2380,75.0,0.010611211,2391
2390,75.0,0.010665765,2401
2400,76.0,0.010710362,2411
2410,76.0,0.010747562,2421
2420,76.0,0.010784899,2431
2430,76.0,0.010822276,2441
2440,76.0,0.010890924,2451
2450,76.0,0.010927986,2461
2460,76.0,0.010998064,2471
2470,76.0,0.011052804,2481
