iterations,fitness,time,fevals
0,547.0,0.022189661,801
10,547.0,0.032552736,1505
20,561.0,0.047087353,2188
30,559.0,0.065078341,2891
40,551.0,0.084280842,3581
50,555.0,0.093398023,4277
60,551.0,0.114606419,4970
70,554.0,0.128419406,5665
80,549.0,0.143677491,6356
90,551.0,0.147938982,7042
100,557.0,0.162213998,7749
110,545.0,0.191388674,8457
120,549.0,0.205298633,9162
130,557.0,0.224661244,9860
140,553.0,0.253400266,10556
150,551.0,0.258527135,11254
160,541.0,0.271771837,11946
170,545.0,0.370518637,12632
180,539.0,0.376762121,13316
190,541.0,0.388116025,14012
200,545.0,0.394774287,14705
210,543.0,0.403845439,15402
220,547.0,0.407678519,16096
230,551.0,0.419278592,16778
240,547.0,0.432781234,17467
250,543.0,0.44880281,18167
260,549.0,0.454544657,18883
270,543.0,0.464372491,19575
280,551.0,0.473689231,20275
290,551.0,0.483445239,20980
300,549.0,0.487144664,21699
310,555.0,0.505095162,22394
320,555.0,0.508797778,23072
330,553.0,0.517686705,23796
340,551.0,0.526426418,24482
350,549.0,0.53032581,25184
360,549.0,0.538379141,25876
370,553.0,0.559500053,26599
380,551.0,0.580728805,27292
390,553.0,0.585703062,27997
400,555.0,0.600105024,28692
410,553.0,0.625865561,29391
420,553.0,0.633162236,30084
430,551.0,0.637070148,30777
440,555.0,0.650538043,31469
450,555.0,0.674439336,32166
460,563.0,0.691551577,32858
470,559.0,0.791247072,33544
480,559.0,0.800571948,34227
490,557.0,0.809203228,34922
500,553.0,0.814717938,35618
510,559.0,0.826950926,36321
520,557.0,0.841308829,37007
530,559.0,0.852837911,37712
540,563.0,0.856473914,38410
550,565.0,0.870959961,39106
560,569.0,0.874832086,39782
570,559.0,0.882773198,40471
580,565.0,0.89467256,41166
590,563.0,0.90887763,41873
600,565.0,0.917965225,42577
610,559.0,0.932506017,43280
620,563.0,0.936070198,43978
630,565.0,0.954538263,44685
640,567.0,0.958239724,45398
650,561.0,0.961822352,46084
660,559.0,0.973327098,46784
670,559.0,0.985147903,47472
680,557.0,0.99332329,48189
690,559.0,1.005185981,48882
700,562.0,1.01334033,49586
710,557.0,1.022030387,50303
720,559.0,1.033909264,51007
730,561.0,1.037614637,51696
740,563.0,1.047159959,52386
750,569.0,1.064457322,53100
760,567.0,1.0682724,53794
770,567.0,1.078722898,54498
780,569.0,1.082447092,55189
790,569.0,1.087824864,55892
800,567.0,1.100549035,56592
810,567.0,1.185122938,57286
820,571.0,1.190261921,57983
830,571.0,1.20653927,58677
840,571.0,1.210237113,59378
850,571.0,1.216351035,60094
860,573.0,1.224485937,60789
870,577.0,1.236559485,61503
880,569.0,1.244471375,62211
890,573.0,1.252754882,62912
900,569.0,1.261704156,63606
910,579.0,1.269498097,64296
920,575.0,1.276596307,64991
930,573.0,1.281134422,65684
940,575.0,1.288543012,66380
950,579.0,1.296481468,67079
960,581.0,1.300088528,67768
970,587.0,1.312635561,68469
980,585.0,1.320102791,69170
990,595.0,1.323630928,69864
1000,593.0,1.33207808,70574
1010,595.0,1.342016226,71276
1020,591.0,1.349634341,71981
1030,589.0,1.359616471,72691
1040,587.0,1.369266356,73386
1050,585.0,1.375939515,74080
1060,585.0,1.382975311,74777
1070,581.0,1.393973344,75470
1080,579.0,1.401869948,76161
1090,585.0,1.410733738,76860
1100,575.0,1.420674308,77559
1110,575.0,1.428973005,78250
1120,573.0,1.435320268,78960
1130,579.0,1.446319097,79646
1140,579.0,1.458016878,80355
1150,575.0,1.465953906,81051
1160,579.0,1.473879609,81751
1170,583.0,1.543581004,82450
1180,585.0,1.548482484,83150
1190,583.0,1.551994868,83843
1200,581.0,1.568637359,84540
1210,585.0,1.597079316,85242
1220,595.0,1.601638741,85942
1230,597.0,1.606774807,86640
1240,593.0,1.613865974,87351
1250,591.0,1.629004851,88050
1260,587.0,1.641914476,88748
1270,589.0,1.665423402,89444
1280,593.0,1.686850215,90149
1290,593.0,1.69966578,90844
1300,589.0,1.730272836,91539
1310,589.0,1.75991854,92231
1320,593.0,1.783548484,92924
1330,593.0,1.802371039,93630
1340,595.0,1.816663441,94334
1350,595.0,1.830970582,95044
1360,589.0,1.840042756,95731
1370,585.0,1.849585853,96434
1380,593.0,1.866352593,97126
1390,593.0,1.874094775,97819
1400,593.0,1.877688986,98515
1410,591.0,1.88120486,99212
1420,593.0,1.88468657,99912
1430,601.0,1.897469026,100618
1440,595.0,1.9061182,101296
1450,599.0,1.915939597,101988
1460,593.0,1.924925717,102690
1470,595.0,1.92993412,103381
1480,597.0,1.935257917,104082
1490,597.0,1.951137475,104786
1500,597.0,1.960498236,105485
1510,595.0,1.970265115,106180
1520,599.0,1.983262251,106880
1530,601.0,1.986774896,107586
1540,603.0,1.995348112,108296
1550,603.0,2.002993617,109001
1560,597.0,2.010650842,109714
1570,599.0,2.086481293,110411
1580,597.0,2.088576939,111122
1590,597.0,2.090690607,111813
1600,595.0,2.094231116,112514
1610,593.0,2.097710936,113204
1620,597.0,2.1011776,113901
1630,605.0,2.104877345,114602
1640,597.0,2.112557365,115284
1650,601.0,2.124509516,115973
1660,601.0,2.132426121,116664
1670,597.0,2.140349077,117364
1680,597.0,2.14390571,118054
1690,601.0,2.152766914,118755
1700,595.0,2.156615721,119445
1710,601.0,2.160074383,120142
1720,597.0,2.163786077,120837
1730,597.0,2.171887296,121533
1740,601.0,2.175512155,122230
1750,593.0,2.179080205,122925
1760,595.0,2.186413378,123631
1770,597.0,2.190013494,124313
1780,601.0,2.193662236,125013
1790,597.0,2.204433075,125705
1800,601.0,2.212223463,126404
1810,595.0,2.219904677,127103
1820,597.0,2.22757023,127804
1830,593.0,2.236341081,128504
1840,595.0,2.241629634,129202
1850,593.0,2.247860693,129894
1860,599.0,2.262914395,130602
1870,599.0,2.26650695,131280
1880,593.0,2.276197726,131979
1890,595.0,2.279990531,132674
1900,599.0,2.283988165,133374
1910,601.0,2.293151581,134075
1920,595.0,2.358202683,134777
1930,599.0,2.361637903,135467
1940,601.0,2.369670211,136157
1950,599.0,2.377627032,136852
1960,595.0,2.384293739,137554
1970,593.0,2.387846501,138236
1980,594.0,2.391384488,138922
1990,599.0,2.398997634,139611
2000,599.0,2.406678025,140303
2010,595.0,2.414902625,141013
2020,601.0,2.420968399,141701
2030,593.0,2.426271814,142384
2040,599.0,2.430090003,143080
2050,597.0,2.43552459,143778
2060,595.0,2.441142707,144479
2070,597.0,2.452726946,145185
2080,599.0,2.456264763,145887
2090,599.0,2.465669145,146595
2100,597.0,2.474086948,147308
2110,605.0,2.482377744,148010
2120,601.0,2.490322893,148702
2130,605.0,2.502089732,149392
2140,605.0,2.510456438,150095
2150,609.0,2.522055076,150801
2160,609.0,2.533692107,151491
2170,607.0,2.54193554,152197
2180,607.0,2.545510109,152898
2190,609.0,2.551427376,153589
2200,615.0,2.563323131,154290
2210,604.0,2.571808586,154991
2220,603.0,2.580158811,155687
2230,603.0,2.592432612,156372
2240,605.0,2.595902962,157062
2250,603.0,2.606731393,157753
2260,605.0,2.613870438,158452
2270,601.0,2.617432755,159156
2280,601.0,2.621065974,159855
2290,603.0,2.624534157,160565
2300,605.0,2.628087595,161246
2310,603.0,2.631541264,161944
2320,603.0,2.635009403,162638
2330,603.0,2.65159233,163334
2340,607.0,2.657409167,164028
2350,605.0,2.665777227,164730
2360,603.0,2.673365825,165424
2370,597.0,2.683677855,166122
2380,603.0,2.68719606,166828
2390,601.0,2.7502067,167530
2400,603.0,2.753815424,168217
2410,601.0,2.766072547,168911
2420,601.0,2.774888712,169611
2430,599.0,2.781266441,170318
2440,605.0,2.796060991,171008
2450,601.0,2.807304883,171691
2460,601.0,2.83846577,172386
2470,603.0,2.84947931,173079
2480,607.0,2.882482855,173763
2490,601.0,2.902659608,174461
2500,601.0,2.922910426,175156
2510,603.0,2.948907694,175872
2520,603.0,2.963789717,176562
2530,605.0,2.992842397,177271
2540,597.0,3.014923993,177971
2550,591.0,3.025709499,178678
2560,589.0,3.037312024,179375
