iterations,fitness,time,fevals
0,569.0,18.888275539,1000
10,615.0,34.023781663,2100
20,652.0,47.231941084,3200
30,690.0,58.369378434,4300
40,704.0,66.550161419,5400
50,708.0,74.93128251,6500
60,710.0,82.592181707,7600
70,710.0,89.455127468,8700
80,716.0,97.050958849,9800
90,714.0,104.41155322,10900
100,716.0,111.857457858,12000
110,720.0,119.40609571,13100
120,722.0,127.071918664,14200
130,726.0,136.184313785,15300
140,726.0,143.932051081,16400
150,726.0,152.408784399,17500
160,726.0,161.944355693,18600
170,726.0,172.863167695,19700
180,724.0,184.138860624,20800
190,724.0,193.80827123,21900
200,724.0,204.622580222,23000
210,726.0,213.582374347,24100
220,724.0,224.196080078,25200
230,724.0,235.468792993,26300
240,728.0,243.403123307,27400
250,728.0,250.110749963,28500
260,728.0,256.90382935,29600
270,728.0,263.531495989,30700
280,728.0,270.223254121,31800
290,732.0,277.272794086,32900
300,734.0,284.187637789,34000
310,734.0,291.328284131,35100
320,736.0,298.201943754,36200
330,734.0,305.063133809,37300
340,736.0,311.759104012,38400
350,734.0,318.560257296,39500
360,734.0,325.21550995,40600
370,734.0,332.017685765,41700
380,742.0,338.804880731,42800
390,744.0,345.610605877,43900
400,742.0,352.667076231,45000
410,744.0,359.483248565,46100
420,744.0,366.328419897,47200
430,744.0,373.135159066,48300
440,744.0,379.789964488,49400
450,744.0,386.658378985,50500
460,744.0,393.467845405,51600
470,744.0,400.155500858,52700
480,744.0,407.304214583,53800
490,744.0,414.014621029,54900
500,746.0,420.900954189,56000
510,744.0,427.654300441,57100
520,746.0,434.575553108,58200
530,746.0,441.565538962,59300
540,746.0,448.397195857,60400
550,744.0,455.046264835,61500
560,746.0,462.037950192,62600
570,746.0,468.93004931,63700
580,746.0,475.918238125,64800
590,752.0,482.975333757,65900
600,754.0,489.972175198,67000
610,756.0,496.853059795,68100
620,756.0,503.7705317,69200
630,754.0,510.565889851,70300
640,754.0,517.469842043,71400
650,756.0,524.334159987,72500
660,756.0,531.084456094,73600
670,754.0,538.010311804,74700
680,756.0,550.842939876,75800
690,758.0,558.109879869,76900
700,758.0,564.477208409,78000
710,760.0,571.302281117,79100
720,758.0,578.160929158,80200
730,760.0,585.055579962,81300
740,756.0,591.687124366,82400
750,760.0,598.458188802,83500
760,760.0,604.826421886,84600
770,758.0,611.428425308,85700
780,758.0,618.36663018,86800
790,758.0,625.153261459,87900
800,758.0,631.802330104,89000
810,760.0,638.466332093,90100
820,758.0,645.223426866,91200
830,758.0,651.80660749,92300
840,758.0,658.546006131,93400
850,760.0,664.963830117,94500
860,760.0,671.251611731,95600
870,760.0,677.676373897,96700
880,760.0,684.368148979,97800
890,760.0,691.31503555,98900
900,760.0,697.805069945,100000
910,760.0,704.450731062,101100
920,758.0,711.343154007,102200
930,758.0,717.950770149,103300
940,760.0,724.614542898,104400
950,760.0,731.406068617,105500
960,760.0,738.262486958,106600
970,758.0,744.893578439,107700
980,762.0,751.412778232,108800
990,759.0,757.605046741,109900
1000,758.0,764.217656293,111000
1010,760.0,771.918348377,112100
1020,762.0,779.515400132,113200
1030,760.0,787.970320015,114300
1040,761.0,797.64063755,115400
1050,761.0,810.267021607,116500
1060,760.0,818.879773016,117600
1070,762.0,827.49594085,118700
1080,762.0,834.749980027,119800
