Cluster;3;4;6;10;14;21;31;46;68;100
k-mean sil score train 1;0.143918733;0.150781054;0.125907337;0.126611888;0.116862299;0.102345570;0.080079660;0.070186846;0.062596161;0.058156222
k-mean sil score test 1;0.144431289;0.157461113;0.120403976;0.118539978;0.110634098;0.096186371;0.066288570;0.052758756;0.042871798;0.027057146
gmm sil score train 1;0.141124202;0.143902813;0.126120025;0.134533505;0.119403327;0.082313289;0.087298329;0.067492974;0.068178092;0.055594881
gmm sil score test 1;0.103016885;0.110730713;0.028102107;0.110144792;0.063273063;0.034868166;0.000367545;0.003014187;-0.014532338;-0.000937522
k-mean sil score train 2;0.614192812;0.091723932;0.080687502;0.087065710;0.051646074;0.052101477;0.016467094;0.024436278;0.010029247;0.015683300
k-mean sil score test 2;0.603743177;0.088768027;0.073450201;0.106185941;0.049928679;0.041998737;0.009568912;0.013015521;0.002410967;-0.014072741
gmm sil score train 2;0.403695291;0.289448294;0.263646412;0.152974645;0.259669313;0.086668798;0.237006178;0.065529656;0.039929848;0.007059027
gmm sil score test 2;0.394922483;0.327445014;0.310471705;0.074219916;0.320096934;0.096889310;0.015496794;-0.038593465;-0.072972056;-0.223046835
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean gb score train 1;2.020549378;2.036510035;2.015321527;2.036823287;2.182402671;2.190487064;2.155427107;2.079256586;2.131223688;1.948337614
k-mean gb score test 1;1.963087852;1.992917120;2.048376131;2.009532700;2.035826948;2.066126982;2.098170485;2.155861813;2.014699705;1.927936344
gmm gb score train 1;2.011743619;2.048392643;2.208560894;2.073559998;1.911018755;2.337368032;2.351952841;2.141083929;2.111018255;2.069097621
gmm gb score test 1;2.544729921;2.486488006;2.300011619;2.724315499;2.637257072;2.568007865;2.146237331;2.156904368;1.931288356;1.869139556
k-mean gb score train 2;3.303991655;3.409529813;3.151035026;3.022656303;2.973303887;2.629692744;2.327021426;1.932513815;1.811237897;1.531404400
k-mean gb score test 2;3.066547815;3.289776221;3.168513863;3.120394542;2.690677438;2.681088831;2.658333571;2.329686891;2.313431335;1.966030132
gmm gb score train 2;10.999679906;12.337582927;9.034688454;5.595876756;4.536414848;3.838449381;2.292681558;2.814995397;2.123860247;1.727039730
gmm gb score test 2;17.161885699;18.089297980;18.169501525;15.157506355;17.958073481;21.073227767;11.343850293;12.432589174;12.673286429;9.976001319
