Cluster;3;4;6;10;14;21;31;46;68;100
k-mean sil pca train 1;0.222461179;0.239506084;0.222439498;0.237395552;0.226615607;0.229081609;0.197710194;0.187029002;0.171225329;0.170026560
k-mean sil pca test 1;0.232244445;0.251158828;0.217674481;0.232179639;0.230794461;0.223348327;0.182938940;0.158618055;0.128769723;0.102521387
gmm sil pca train 1;0.171538503;0.161098903;0.164020449;0.175903238;0.164004413;0.112599918;0.110635613;0.091004701;0.128997798;0.135797389
gmm sil pca test 1;0.171971311;0.170012764;0.159401639;0.157791058;0.147032497;0.053942997;0.042193231;-0.039000875;-0.104328607;-0.190338464
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean sil pca train 2;0.068307004;0.084001600;0.084040789;0.089934533;0.057851629;0.046337194;0.044923011;0.017976427;0.000658361;0.002992464
k-mean sil pca test 2;0.069312163;0.081832716;0.092206629;0.089900973;0.073310201;0.033954798;0.041355963;0.007015283;-0.014662238;-0.006851226
gmm sil pca train 2;-0.055381650;-0.054770818;-0.067014824;-0.059089058;-0.054347340;-0.053227063;-0.065495336;-0.054466529;-0.071913874;-0.066404580
gmm sil pca test 2;-0.067629816;-0.067629816;-0.075636985;-0.076392523;-0.075562643;-0.079766312;-0.102912492;-0.091762668;-0.161323423;-0.152334341
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean db pca train 1;1.560811416;1.520004326;1.456844740;1.381550772;1.398303009;1.291766874;1.412821587;1.387773651;1.427712107;1.368958201
k-mean db pca test 1;1.484726595;1.455181679;1.464569676;1.373703331;1.387196281;1.291754059;1.357817846;1.341591159;1.386650146;1.289062740
gmm db pca train 1;2.330163807;2.179044893;2.119323442;1.994244831;2.001260753;1.666268501;1.636829949;1.647127528;1.518448438;1.476815375
gmm db pca test 1;2.294645821;2.141381128;2.093149999;2.062234535;2.157521670;1.992177622;1.941026104;2.054026259;2.045770929;2.038287916
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean db pca train 2;3.606260828;3.444443955;3.170437639;2.878440328;2.886108613;2.507501526;2.108687697;2.125881068;1.795631490;1.538441809
k-mean db pca test 2;3.590172371;3.346365847;2.994964113;2.845135989;2.781429650;2.709674789;2.504452159;2.279274575;2.406848664;2.047784304
gmm db pca train 2;35.142345407;26.675351369;19.906818749;10.943934291;8.656618513;6.863762471;5.117095942;4.017820154;3.164793747;2.547901080
gmm db pca test 2;22.645883680;22.645883680;20.627397843;17.599614279;22.031936705;23.365580514;23.959260092;23.196483894;12.193234614;11.628974570
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean sil ica train 1;0.081190157;0.087813934;0.089504202;0.120602298;0.164205994;0.193710994;0.188979802;0.174723067;0.152799367;0.151165777
k-mean sil ica test 1;0.091711947;0.085590924;0.081373470;0.126258904;0.164929602;0.183158597;0.167433350;0.145064020;0.110482497;0.099476509
gmm sil ica train 1;0.051976368;0.060068191;0.095106498;0.113421974;0.128234539;0.128526229;0.098633324;0.113283974;0.109751549;0.121282121
gmm sil ica test 1;0.044069200;0.065082852;0.091301127;0.108853403;0.123999642;0.105930492;0.073532194;0.058238978;-0.005135662;-0.009106004
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean sil ica train 2;0.019752899;0.010172921;-0.007421684;-0.000481399;0.003038512;0.000406148;-0.004636205;-0.018042689;-0.026833573;-0.031336784
k-mean sil ica test 2;0.018264626;0.011144313;-0.008662388;0.008303119;0.006820445;0.002861646;-0.014769720;-0.020473030;-0.041732564;-0.046086104
gmm sil ica train 2;0.501660516;0.501250531;0.500476010;0.049474748;0.050102690;0.006254379;0.007099020;-0.004282496;0.020207700;0.012359665
gmm sil ica test 2;0.501675470;0.501675470;0.500336271;0.029506360;0.029531184;-0.021842983;-0.021080474;-0.033751795;-0.019642235;-0.026273738
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean db ica train 1;3.442212316;3.034597567;2.252780266;1.738893189;1.505084545;1.324849868;1.283665119;1.410045269;1.430870725;1.353354162
k-mean db ica test 1;3.283708234;2.861240457;2.607925813;1.858345080;1.549661816;1.368535380;1.386656344;1.486296054;1.446980348;1.391682796
gmm db ica train 1;4.270273197;3.908533575;3.171500104;2.180098865;1.903071395;1.843003143;1.862861840;1.597531518;1.551484548;1.476691291
gmm db ica test 1;3.961760502;3.645624206;3.071421842;2.430237320;2.209006449;2.384889047;1.902554533;1.960704676;1.915633588;1.946775634
Cluster;3;4;6;10;14;21;31;46;68;100
