scores_train_learning_SVM1;0.922222222;0.913888889;0.910185185;0.899305556;0.892222222;0.889814815;0.887301587;0.884027778;0.878086420;0.874722222;0.872474747;0.869907407;0.867948718;0.866468254;0.864259259;0.866319444;0.866830065;0.864351852;0.862865497;0.862500000;0.863888889;0.865151515;0.863526570;0.860879630;0.862000000;0.861217949;0.861008230;0.860019841;0.858141762;0.857129630;0.857347670;0.857291667;0.856649832;0.856127451;0.856825397;0.855941358;0.856381381;0.855847953;0.855698006;0.855277778;0.855216802;0.855555556;0.856266150;0.857070707;0.856790123;0.855797101;0.854846336;0.855613426;0.855498866;0.855388889
scores_test_learning_SVM1;0.761269841;0.784777156;0.775009368;0.783332530;0.781114969;0.775471953;0.774212936;0.776395076;0.777157851;0.772777849;0.777777778;0.780792991;0.779281372;0.784531004;0.785002595;0.790109168;0.788398693;0.789204513;0.786992307;0.788893497;0.786512886;0.785737561;0.787927184;0.787620257;0.786888889;0.786330021;0.788688831;0.790283617;0.788986195;0.787872697;0.787724014;0.787326389;0.787794936;0.785294021;0.786587841;0.788812068;0.789189286;0.789182202;0.788746230;0.788680474;0.789092423;0.788888889;0.790244931;0.789962270;0.789939040;0.789915459;0.789302716;0.789005921;0.790022676;0.790388889
scores_train_learning_SVM2;0.812030075;0.756554307;0.750623441;0.704119850;0.697604790;0.688279302;0.699465241;0.701590271;0.710723192;0.715781601;0.706122449;0.696384040;0.692174914;0.695884554;0.704239401;0.711079944;0.713468310;0.713216958;0.712992126;0.712041885;0.721410759;0.726963618;0.734634146;0.737531172;0.738180730;0.738780207;0.742033804;0.743254074;0.745421718;0.747943156;0.749276062;0.749181861;0.750679964;0.754015402;0.756358196;0.757947226;0.760816822;0.760039370;0.762754124;0.764210920;0.765371283;0.760819234;0.761175857;0.760625638;0.759474734;0.754308943;0.753939201;0.753311516;0.753320104;0.755272999
scores_test_learning_SVM2;0.810897436;0.717236467;0.728658537;0.670201385;0.687870141;0.674512195;0.683338752;0.682729220;0.698385305;0.699423143;0.684386420;0.669551750;0.669892651;0.671869376;0.679353234;0.688690711;0.691588612;0.698360084;0.695440272;0.703186400;0.704374136;0.716194746;0.721366175;0.725452040;0.727793956;0.727057041;0.732123195;0.735625579;0.736008207;0.735833789;0.738267161;0.739238411;0.741657689;0.745719905;0.749207724;0.752413195;0.753381589;0.752596033;0.754183762;0.755481188;0.757237395;0.754084644;0.753222142;0.753851507;0.751225725;0.748500463;0.747910838;0.746799247;0.747700496;0.749787693
scores_kernel_SVM1;0.790388889;0.769444444
scores_kernel_SVM2;0.749787693;0.648665012
n1;30000
n2;11142
train_n1;18000
train_n2;6685
optimal_kernel_1;rbf
optimal_kernel_2;rbf
scores_train_SVM1;0.855388889
scores_test_SVM1;0.815666667
scores_train_SVM2;0.755272999
scores_test_SVM2;0.524343729
elasped_time_1;28.954139948
elasped_time_2;2.099975824
